Variant_category	pval_bin	Proportion	Type
TE	nonOutlier	0.00808559294348252	eOutliers - Over
TSS	nonOutlier	0.0222945409159065	eOutliers - Over
BND	0~1e-07	0.015748031496063	eOutliers - Under
CNV	0~1e-07	0.165354330708661	eOutliers - Under
coding	0~1e-07	0.0078740157480315	eOutliers - Under
conserved_noncoding	0~1e-07	0.0078740157480315	eOutliers - Under
DEL	0~1e-07	0.181102362204724	eOutliers - Under
frameshift	0~1e-07	0.173228346456693	eOutliers - Under
no_variant	0~1e-07	0.062992125984252	eOutliers - Under
other_noncoding	0~1e-07	0.110236220472441	eOutliers - Under
splice_acceptor_variant	0~1e-07	0.0078740157480315	eOutliers - Under
splice_donor_variant	0~1e-07	0.0393700787401575	eOutliers - Under
splice_region_variant	0~1e-07	0.0866141732283465	eOutliers - Under
stop	0~1e-07	0.078740157480315	eOutliers - Under
TE	0~1e-07	0.0078740157480315	eOutliers - Under
TSS	0~1e-07	0.0551181102362205	eOutliers - Under
BND	1e-02~5e-02	0.00323974082073434	eOutliers - Under
CNV	1e-02~5e-02	0.0134989200863931	eOutliers - Under
coding	1e-02~5e-02	0.0302375809935205	eOutliers - Under
conserved_noncoding	1e-02~5e-02	0.0296976241900648	eOutliers - Under
DEL	1e-02~5e-02	0.0172786177105832	eOutliers - Under
DUP	1e-02~5e-02	0.00431965442764579	eOutliers - Under
frameshift	1e-02~5e-02	0.0172786177105832	eOutliers - Under
no_variant	1e-02~5e-02	0.365010799136069	eOutliers - Under
other_noncoding	1e-02~5e-02	0.400107991360691	eOutliers - Under
splice_acceptor_variant	1e-02~5e-02	0.00593952483801296	eOutliers - Under
splice_donor_variant	1e-02~5e-02	0.00647948164146868	eOutliers - Under
splice_region_variant	1e-02~5e-02	0.0242980561555076	eOutliers - Under
stop	1e-02~5e-02	0.0178185745140389	eOutliers - Under
TE	1e-02~5e-02	0.0102591792656587	eOutliers - Under
TSS	1e-02~5e-02	0.0545356371490281	eOutliers - Under
BND	1e-03~1e-02	0.00467289719626168	eOutliers - Under
CNV	1e-03~1e-02	0.0373831775700935	eOutliers - Under
coding	1e-03~1e-02	0.0171339563862928	eOutliers - Under
conserved_noncoding	1e-03~1e-02	0.0373831775700935	eOutliers - Under
DEL	1e-03~1e-02	0.0389408099688473	eOutliers - Under
frameshift	1e-03~1e-02	0.0700934579439252	eOutliers - Under
no_variant	1e-03~1e-02	0.32398753894081	eOutliers - Under
other_noncoding	1e-03~1e-02	0.272585669781931	eOutliers - Under
splice_acceptor_variant	1e-03~1e-02	0.0109034267912773	eOutliers - Under
splice_donor_variant	1e-03~1e-02	0.0264797507788162	eOutliers - Under
splice_region_variant	1e-03~1e-02	0.0467289719626168	eOutliers - Under
stop	1e-03~1e-02	0.0327102803738318	eOutliers - Under
TE	1e-03~1e-02	0.0109034267912773	eOutliers - Under
TSS	1e-03~1e-02	0.0700934579439252	eOutliers - Under
BND	1e-04~1e-03	0.00255754475703325	eOutliers - Under
CNV	1e-04~1e-03	0.0664961636828645	eOutliers - Under
coding	1e-04~1e-03	0.0179028132992327	eOutliers - Under
conserved_noncoding	1e-04~1e-03	0.061381074168798	eOutliers - Under
DEL	1e-04~1e-03	0.0664961636828645	eOutliers - Under
DUP	1e-04~1e-03	0.00255754475703325	eOutliers - Under
frameshift	1e-04~1e-03	0.112531969309463	eOutliers - Under
INV	1e-04~1e-03	0.00255754475703325	eOutliers - Under
no_variant	1e-04~1e-03	0.199488491048593	eOutliers - Under
other_noncoding	1e-04~1e-03	0.163682864450128	eOutliers - Under
splice_acceptor_variant	1e-04~1e-03	0.010230179028133	eOutliers - Under
splice_donor_variant	1e-04~1e-03	0.0358056265984655	eOutliers - Under
splice_region_variant	1e-04~1e-03	0.0920716112531969	eOutliers - Under
stop	1e-04~1e-03	0.0716112531969309	eOutliers - Under
TE	1e-04~1e-03	0.0127877237851662	eOutliers - Under
TSS	1e-04~1e-03	0.0818414322250639	eOutliers - Under
BND	1e-05~1e-04	0.0122699386503067	eOutliers - Under
CNV	1e-05~1e-04	0.049079754601227	eOutliers - Under
coding	1e-05~1e-04	0.00613496932515337	eOutliers - Under
conserved_noncoding	1e-05~1e-04	0.0736196319018405	eOutliers - Under
DEL	1e-05~1e-04	0.0920245398773006	eOutliers - Under
DUP	1e-05~1e-04	0.00613496932515337	eOutliers - Under
frameshift	1e-05~1e-04	0.110429447852761	eOutliers - Under
